country,year,msw_gen_t,msw_trt_t,gdp_meur,population,msw_data_flag,log_gdp,log_pop,log_msw
AT,2004,4687000.0,4625000.0,269279.8,,reported,12.503506266703026,,15.360303276904844
AT,2005,4732000.0,4601000.0,275528.0,,reported,12.526444535804613,,15.369858504080414
AT,2006,4933000.0,4834000.0,284536.0,,reported,12.558615062328881,,15.411457880215876
AT,2007,4951000.0,4859000.0,295277.9,,reported,12.595672225784796,,15.415100134343561
AT,2008,4997000.0,4889000.0,299569.1,,reported,12.610100387789473,,15.424348290326343
AT,2009,4921000.0,4788000.0,288825.8,,reported,12.573579017190713,,15.409022319848114
AT,2010,4701000.0,4582000.0,294050.6,,reported,12.591507140355327,,15.363285810006268
AT,2011,4807000.0,4632000.0,302658.8,,reported,12.620361377388116,,15.385583746876097
AT,2012,4883000.0,4718000.0,304560.3,,reported,12.626624376083475,,15.401270343043798
AT,2013,4905000.0,4744000.0,303796.7,,reported,12.624114006675333,,15.4057656509816
AT,2014,4833000.0,4673000.0,306092.8,,reported,12.631643602931938,,15.39097795082722
AT,2015,4836000.0,4728000.0,310082.8,8584926.0,reported,12.64459463757153,15.965518432591065,15.39159849071682
AT,2016,4928000.0,4825000.0,316647.9,8700471.0,reported,12.66554570999459,15.978887720090441,15.410443784195493
AT,2017,5018000.0,4944000.0,323842.9,8772865.0,reported,12.688013800640613,15.987173992869474,15.428542005908504
AT,2018,5119000.0,5041000.0,331887.9,8822267.0,reported,12.712552540279416,15.992789424435015,15.44846966543972
AT,2019,5220000.0,5149000.0,337712.4,8858775.0,reported,12.729949924680879,15.996919051171197,15.468007959858822
AT,2020,7438000.0,7438000.0,316374.9,8901064.0,reported,12.664683181766774,16.001681378118565,15.822112553467152
AT,2021,7476000.0,7476000.0,331950.3,8932664.0,reported,12.712740537897462,16.005225228632796,15.82720844755759
AT,2022,7261000.0,7261000.0,349646.5,8978929.0,reported,12.764677923071902,16.010391168132337,15.798028118362383
AT,2023,7142000.0,7142000.0,346897.4,9104772.0,reported,12.756784337974436,16.02430922964415,15.781503407136531
BA,2004,,,21207.8,,missing,9.962124317520773,,
BA,2005,,,22034.3,,missing,10.000355609129098,,
BA,2006,,,23227.2,,missing,10.053079284707163,,
BA,2007,,,24588.1,,missing,10.110017865043195,,
BA,2008,1367000.0,1220000.0,25926.2,,reported,10.163009319393908,,14.128129115706086
BA,2009,1362000.0,1002000.0,25147.3,,reported,10.132505813900021,,14.124464765691595
BA,2010,1276000.0,1042000.0,25365.0,,reported,10.14112555000079,,14.059240742886873
BA,2011,1307000.0,1034000.0,25608.3,,reported,10.150671796670112,,14.083244992606359
BA,2012,1303000.0,873000.0,25397.9,,reported,10.142421772423328,,14.080179856106982
BA,2013,1192000.0,894000.0,25994.7,,reported,10.165647950070321,,13.991143126607431
BA,2014,1335000.0,894000.0,26294.6,,reported,10.177118873890247,,14.104441849816487
BA,2015,1249000.0,942000.0,27421.1,3825334.0,reported,10.219068069014789,15.15715634169202,14.037853789107714
BA,2016,1244000.0,954000.0,28310.2,3515982.0,reported,10.25097744272246,15.072829418320175,14.033842552281262
BA,2017,1235000.0,951000.0,29228.6,3509728.0,reported,10.282902960960978,15.071049099561828,14.026581528044215
BA,2018,1244000.0,956000.0,30347.8,3500295.0,reported,10.320479306216136,15.068357808622087,14.033842552281262
BA,2019,1228000.0,1114000.0,31223.6,3492018.0,reported,10.348929498119926,15.06599035056752,14.020897387689224
BA,2020,1206000.0,1101000.0,30282.1,,reported,10.318312057854655,,14.002819656269267
BA,2021,1229000.0,973000.0,32520.5,,reported,10.389625938697302,,14.021711388548171
BA,2022,1184000.0,929000.0,33895.1,3464384.0,reported,10.431025740148367,15.05804539702402,13.984409094426088
BA,2023,1186000.0,918000.0,34571.1,3441194.0,reported,10.450773351906115,15.05132906214999,13.986096858539808
BE,2004,5059000.0,5096000.0,329920.9,,reported,12.706608207741056,,15.436679393274073
BE,2005,5052000.0,5279000.0,337580.8,,reported,12.72956016804875,,15.43529476245252
BE,2006,5115000.0,5149000.0,346197.0,,reported,12.754763256175435,,15.447687957367863
BE,2007,5243000.0,5454000.0,358926.4,,reported,12.79087263252461,,15.47240441155467
BE,2008,5141000.0,4882000.0,360530.5,,reported,12.795331836844037,,15.452758171037642
BE,2009,5042000.0,4779000.0,353657.2,,reported,12.77608336136901,,15.433313386730003
BE,2010,4972000.0,4746000.0,363242.4,,reported,12.802825658983787,,15.419332731612739
BE,2011,5023000.0,4778000.0,370257.2,,reported,12.821953178261023,,15.429537922732182
BE,2012,4944000.0,4716000.0,371056.2,,reported,12.824108812597045,,15.413685278119663
BE,2013,4867000.0,4743000.0,372189.8,,reported,12.827159218193602,,15.397988288815592
BE,2014,4762000.0,4684000.0,378760.9,,reported,12.8446604142695,,15.376178306028946
BE,2015,4643000.0,4574000.0,384344.5,11237274.0,reported,12.859294564801077,16.234746846325073,15.35087126700206
BE,2016,4746000.0,4752000.0,388931.6,11311117.0,reported,12.871158771664135,16.241296605373027,15.372812715977846
BE,2017,4672000.0,4632000.0,394666.3,11351727.0,reported,12.885795876703492,16.24488044890705,15.3570978034902
BE,2018,4677000.0,4677000.0,402078.0,11398589.0,reported,12.904401378630547,16.249000133774523,15.358167436708023
BE,2019,4779000.0,4779000.0,411900.3,11455519.0,reported,12.928536608756026,16.253982180569253,15.379741877560296
BE,2020,8408000.0,8408000.0,392158.0,11522440.0,reported,12.879420098789735,16.259806996359945,15.944694191538924
BE,2021,8753000.0,8753000.0,416685.4,11554767.0,reported,12.940086779599703,16.26260863705633,15.984907056714576
BE,2022,8055000.0,8056000.0,433455.3,11617623.0,reported,12.97954395569925,16.268033727361015,15.901803574593211
BE,2023,8104000.0,8104000.0,440222.7,11742796.0,reported,12.995036014214275,16.278750504144888,15.907868324910657
BG,2004,4619000.0,3885000.0,30140.6,,reported,10.313628379082541,,15.345688789412742
BG,2005,4502000.0,3967000.0,32267.4,,reported,10.381812711611026,,15.320032300448815
BG,2006,4387000.0,3590000.0,34462.5,,reported,10.447627055332052,,15.29415618014835
BG,2007,4172000.0,3837000.0,36755.7,,reported,10.51204859465472,,15.2439060951028
BG,2008,4486000.0,4229000.0,39008.7,,reported,10.571539977156903,,15.31647199406229
BG,2009,4449000.0,4309000.0,37703.0,,reported,10.53749494586695,,15.30818990978818
BG,2010,4094000.0,4044000.0,38289.4,,reported,10.552928374460867,,15.225033045203372
BG,2011,3732000.0,3547000.0,39089.7,,reported,10.573614284160467,,15.132454840949372
BG,2012,3364000.0,3164000.0,39382.4,,reported,10.581074294978018,,15.028641300074975
