city,year,cdw_10kt,floor_started_10k_m2,floor_completed_10k_m2,tertiary_share_pct,gdp_yi_cny,population_wan,soil_10kt,demolition_10kt,decoration_10kt,constr_waste_10kt,is_BJ,cdw_data_flag
北京,2015,12000,13924,3223,80.2,23689,2171,8000,2500,,1500,1,reported
北京,2016,13000,13089,2383,80.5,25669,2173,8500,2700,,1800,1,reported
北京,2017,13500,12896,1467,80.4,28000,2171,8800,2800,,1900,1,reported
北京,2018,14000,13010,1558,80.8,30320,2154,9000,2900,,2100,1,reported
北京,2019,14500,12939,1696,83.1,35371,2154,9200,3000,,2300,1,reported
北京,2020,14700,13245,2036,83.6,36102,2189,9500,3100,,2100,1,reported
北京,2021,13800,13323,1831,84.6,40269,2188,8800,2900,,2100,1,reported
北京,2022,13000,12541,1939,85.4,41610,2184,8300,2700,,2000,1,reported
北京,2023,10700,11951,1786,86.2,43760,2185,7506,1347,246.0,1313,1,reported
北京,2024,12414,11309,1652,86.6,46100,2188,8987,1842,246.0,1317,1,reported
深圳,2015,8000,7043,654,63.0,17502,1138,5000,1000,,2000,0,interpolated_assisted
深圳,2016,8500,7534,819,60.4,19493,1191,5200,1100,,2200,0,interpolated_assisted
深圳,2017,9000,8228,875,60.5,22490,1253,5500,1200,,2300,0,interpolated_assisted
深圳,2018,9500,8910,980,60.1,24222,1302,5700,1300,,2500,0,interpolated_assisted
深圳,2019,10000,9610,980,61.0,26927,1344,6000,1400,,2600,0,interpolated_assisted
深圳,2020,9920,9970,974,62.3,27670,1756,6450,770,,2700,0,reported
深圳,2021,9000,9800,1024,63.1,30664,1768,5800,700,,2500,0,reported
深圳,2022,8500,9500,984,61.6,32388,1766,5500,650,,2350,0,reported
深圳,2023,8000,9200,945,59.4,34606,1779,5000,600,,2400,0,reported
深圳,2024,6829,8800,900,58.6,36800,1799,3602,500,,3000,0,reported
