doi,waste_domain,temporal_data,validation_design,persistence_baseline,leakage_risk,uncertainty_reported
10.1016/j.wasman.2017.11.057,agree,disagree,both_unclear,disagree,one_unclear,agree
10.3390/su172310707,agree,agree,agree,agree,agree,agree
10.1016/j.resconrec.2020.105381,agree,disagree,disagree,disagree,one_unclear,agree
10.1007/s11356-022-25062-6,agree,agree,both_unclear,agree,one_unclear,agree
10.3390/su17041711,agree,agree,agree,agree,agree,agree
10.1007/s10163-022-01479-6,agree,agree,one_unclear,agree,disagree,agree
10.14445/23488352/ijce-v5i2p105,agree,agree,one_unclear,agree,one_unclear,agree
10.1016/j.compenvurbsys.2018.03.004,agree,disagree,both_unclear,disagree,disagree,agree
10.12153/j.issn.1674-991X.20230798,agree,agree,agree,agree,one_unclear,agree
10.1016/j.jclepro.2020.122843,agree,agree,agree,agree,agree,agree
10.3390/su16093579,agree,agree,both_unclear,agree,one_unclear,agree
10.1016/j.wasman.2025.115012,agree,agree,both_unclear,agree,agree,agree
10.3390/su12208555,agree,agree,one_unclear,agree,agree,agree
